Time,Label,Area1,Mean1,X1,Y1,Area2,Mean2,X2,Y2,Area3,Mean3,X3,Y3,Area4,Mean4,X4,Y4,Area5,Mean5,X5,Y5,Area6,Mean6,X6,Y6,Area7,Mean7,X7,Y7,Area8,Mean8,X8,Y8,Area9,Mean9,X9,Y9,Area10,Mean10,X10,Y10,Area11,Mean11,X11,Y11,Area12,Mean12,X12,Y12,Area13,Mean13,X13,Y13,Area14,Mean14,X14,Y14,Area15,Mean15,X15,Y15,Area16,Mean16,X16,Y16,Area17,Mean17,X17,Y17,Area18,Mean18,X18,Y18,Area19,Mean19,X19,Y19,Area20,Mean20,X20,Y20,Area21,Mean21,X21,Y21
21,13.avi,9207,41.3539,29.3343,133.4033,8935,45.0768,103.3236,79.7957,7549,28.5136,209.1025,85.2253,3700,41.1205,269.6903,34.6559,6638,36.1196,324.4494,92.9721,5648,42.2443,205.8258,183.2201,8194,40.034,266.4154,242.1286,7162,33.3044,121.4989,314.236,9137,25.4463,193.0217,359.782,5855,35.8191,243.1678,417.6425,7282,38.2264,329.7057,423.1887,6098,42.6186,304.7906,329.6799,8576,29.5309,365.634,220.6687,4311,18.7701,435.648,259.6563,3462,12.4495,470.3105,354.5347,2918,12.2217,465.3218,412.9486,3773,28.308,378.7266,459.9347,1932,38.911,493.2246,277.6252,5138,31.8215,449.043,156.8344,1722,19.0407,495.3142,47.0813,2012,19.2888,448.6143,81.0934
22,13.avi,9207,41.8272,29.3343,133.4033,8935,45.3637,103.3236,79.7957,7549,28.4224,209.1025,85.2253,3700,41.4019,269.6903,34.6559,6638,35.9509,324.4494,92.9721,5648,41.9122,205.8258,183.2201,8194,39.8567,266.4154,242.1286,7162,33.2203,121.4989,314.236,9137,25.6612,193.0217,359.782,5855,35.7141,243.1678,417.6425,7282,38.1714,329.7057,423.1887,6098,43.0981,304.7906,329.6799,8576,29.2712,365.634,220.6687,4311,18.9524,435.648,259.6563,3462,12.6638,470.3105,354.5347,2918,11.8814,465.3218,412.9486,3773,27.9221,378.7266,459.9347,1932,39.809,493.2246,277.6252,5138,31.3869,449.043,156.8344,1722,18.2305,495.3142,47.0813,2012,19.6223,448.6143,81.0934
23,13.avi,9207,41.5143,29.3343,133.4033,8935,45.7264,103.3236,79.7957,7549,28.9201,209.1025,85.2253,3700,40.6589,269.6903,34.6559,6638,36.6463,324.4494,92.9721,5648,41.9407,205.8258,183.2201,8194,40.4271,266.4154,242.1286,7162,32.9774,121.4989,314.236,9137,25.5188,193.0217,359.782,5855,35.435,243.1678,417.6425,7282,38.4411,329.7057,423.1887,6098,42.3972,304.7906,329.6799,8576,29.9362,365.634,220.6687,4311,19.187,435.648,259.6563,3462,12.8013,470.3105,354.5347,2918,12.0576,465.3218,412.9486,3773,28.3684,378.7266,459.9347,1932,40.1506,493.2246,277.6252,5138,31.6845,449.043,156.8344,1722,18.9024,495.3142,47.0813,2012,19.2982,448.6143,81.0934
24,13.avi,9207,41.1739,29.3343,133.4033,8935,45.2712,103.3236,79.7957,7549,28.7687,209.1025,85.2253,3700,40.293,269.6903,34.6559,6638,36.3958,324.4494,92.9721,5648,41.6799,205.8258,183.2201,8194,40.6567,266.4154,242.1286,7162,33.112,121.4989,314.236,9137,25.1429,193.0217,359.782,5855,36.0056,243.1678,417.6425,7282,38.2241,329.7057,423.1887,6098,42.8481,304.7906,329.6799,8576,29.7716,365.634,220.6687,4311,18.9529,435.648,259.6563,3462,12.935,470.3105,354.5347,2918,11.904,465.3218,412.9486,3773,28.3851,378.7266,459.9347,1932,40.2231,493.2246,277.6252,5138,31.4122,449.043,156.8344,1722,18.6423,495.3142,47.0813,2012,19.2475,448.6143,81.0934
25,13.avi,9207,40.8673,29.3343,133.4033,8935,45.0877,103.3236,79.7957,7549,28.4847,209.1025,85.2253,3700,40.1389,269.6903,34.6559,6638,35.9272,324.4494,92.9721,5648,41.2743,205.8258,183.2201,8194,40.2773,266.4154,242.1286,7162,33.1116,121.4989,314.236,9137,25.1171,193.0217,359.782,5855,35.5199,243.1678,417.6425,7282,37.9725,329.7057,423.1887,6098,42.605,304.7906,329.6799,8576,29.4733,365.634,220.6687,4311,19.2229,435.648,259.6563,3462,12.6979,470.3105,354.5347,2918,11.829,465.3218,412.9486,3773,28.0366,378.7266,459.9347,1932,39.854,493.2246,277.6252,5138,31.4414,449.043,156.8344,1722,18.4942,495.3142,47.0813,2012,19.329,448.6143,81.0934
26,13.avi,9207,41.0053,29.3343,133.4033,8935,45.4404,103.3236,79.7957,7549,28.8245,209.1025,85.2253,3700,40.3216,269.6903,34.6559,6638,36.0792,324.4494,92.9721,5648,42.0152,205.8258,183.2201,8194,40.432,266.4154,242.1286,7162,33.1078,121.4989,314.236,9137,25.6605,193.0217,359.782,5855,36.0159,243.1678,417.6425,7282,38.3285,329.7057,423.1887,6098,42.4118,304.7906,329.6799,8576,29.6634,365.634,220.6687,4311,19.036,435.648,259.6563,3462,12.4581,470.3105,354.5347,2918,12.281,465.3218,412.9486,3773,28.357,378.7266,459.9347,1932,39.9451,493.2246,277.6252,5138,30.8361,449.043,156.8344,1722,19.2352,495.3142,47.0813,2012,19.5234,448.6143,81.0934
27,13.avi,9207,41.2669,29.3343,133.4033,8935,45.0923,103.3236,79.7957,7549,28.8886,209.1025,85.2253,3700,40.873,269.6903,34.6559,6638,36.2629,324.4494,92.9721,5648,42.9005,205.8258,183.2201,8194,40.5799,266.4154,242.1286,7162,32.7315,121.4989,314.236,9137,25.3394,193.0217,359.782,5855,36.3182,243.1678,417.6425,7282,38.097,329.7057,423.1887,6098,42.204,304.7906,329.6799,8576,29.3902,365.634,220.6687,4311,19.2579,435.648,259.6563,3462,12.1453,470.3105,354.5347,2918,11.7378,465.3218,412.9486,3773,28.5423,378.7266,459.9347,1932,39.7971,493.2246,277.6252,5138,31.4829,449.043,156.8344,1722,18.7323,495.3142,47.0813,2012,19.1983,448.6143,81.0934
28,13.avi,9207,41.5239,29.3343,133.4033,8935,45.5737,103.3236,79.7957,7549,28.6931,209.1025,85.2253,3700,40.993,269.6903,34.6559,6638,36.345,324.4494,92.9721,5648,42.6654,205.8258,183.2201,8194,39.9609,266.4154,242.1286,7162,33.0242,121.4989,314.236,9137,25.6575,193.0217,359.782,5855,35.8118,243.1678,417.6425,7282,38.2532,329.7057,423.1887,6098,42.5336,304.7906,329.6799,8576,29.88,365.634,220.6687,4311,19.4189,435.648,259.6563,3462,12.5104,470.3105,354.5347,2918,12.4109,465.3218,412.9486,3773,28.1084,378.7266,459.9347,1932,39.4457,493.2246,277.6252,5138,31.0932,449.043,156.8344,1722,18.7352,495.3142,47.0813,2012,19.9935,448.6143,81.0934
29,13.avi,9207,40.7527,29.3343,133.4033,8935,44.7011,103.3236,79.7957,7549,28.4671,209.1025,85.2253,3700,40.6151,269.6903,34.6559,6638,35.81,324.4494,92.9721,5648,41.8118,205.8258,183.2201,8194,39.5273,266.4154,242.1286,7162,32.3351,121.4989,314.236,9137,25.3411,193.0217,359.782,5855,35.0277,243.1678,417.6425,7282,37.5556,329.7057,423.1887,6098,41.6359,304.7906,329.6799,8576,29.0385,365.634,220.6687,4311,18.6312,435.648,259.6563,3462,12.2215,470.3105,354.5347,2918,11.9112,465.3218,412.9486,3773,27.7819,378.7266,459.9347,1932,39.2252,493.2246,277.6252,5138,30.7445,449.043,156.8344,1722,18.3595,495.3142,47.0813,2012,18.6039,448.6143,81.0934
30,13.avi,9207,40.9962,29.3343,133.4033,8935,44.4582,103.3236,79.7957,7549,28.2482,209.1025,85.2253,3700,39.9392,269.6903,34.6559,6638,35.7371,324.4494,92.9721,5648,41.8176,205.8258,183.2201,8194,39.6516,266.4154,242.1286,7162,32.3646,121.4989,314.236,9137,25.1136,193.0217,359.782,5855,34.6885,243.1678,417.6425,7282,37.9651,329.7057,423.1887,6098,42.2404,304.7906,329.6799,8576,28.4789,365.634,220.6687,4311,18.4264,435.648,259.6563,3462,12.4379,470.3105,354.5347,2918,12.2814,465.3218,412.9486,3773,28.0737,378.7266,459.9347,1932,40.3395,493.2246,277.6252,5138,31.182,449.043,156.8344,1722,18.9472,495.3142,47.0813,2012,18.3519,448.6143,81.0934
